Language,Register Pair,mean,var,std,Register Pair,mean,var,std,Register Pair,mean,var,std
amh,CC-CC,1.0362408317154639,0.010947276036969144,0.10435992027596039,WK-WK,0.6706243462740378,0.015229132067434932,0.12308872712003995,TW-TW,0.9954541310003688,0.003861074704493584,0.06197760736905322
ara,CC-CC,0.7283096185348235,0.00978820787532753,0.09868071695761564,WK-WK,1.0666586819780932,0.002346895044157676,0.04832006814499659,TW-TW,0.8022620457351163,0.0018590279714725086,0.0430054668269025
aze,CC-CC,0.3070832281840439,0.10421597781494894,0.321994058435601,WK-WK,1.210806860395371,0.0009285125231109842,0.030393071162362062,TW-TW,0.9669254812573256,0.0015053620674113236,0.03869912880799552
ben,CC-CC,0.5693624667009657,0.014409628537643791,0.1197311342811906,WK-WK,0.9938231418471405,0.00021787148047678682,0.014722477403129526,TW-TW,1.0560033755800007,0.0019225588100154703,0.04373413295507717
deu,CC-CC,0.3498229244859578,0.03335672739873417,0.1821681391554083,WK-WK,1.2659501930457597,0.0017409653539756978,0.04161747893835935,TW-TW,1.0242101415134848,0.004870218321713816,0.0696073209976316
eng,CC-CC,0.030429622244067946,0.11369902478083259,0.33632494046258915,WK-WK,1.3780978706676148,0.0023825062471363066,0.048685286289972984,TW-TW,1.1195776526540555,0.0024029049776930797,0.048893260844268635
fin,CC-CC,0.09216961651878684,0.0476932630353769,0.21782575221977735,WK-WK,1.2633262403357806,0.0014007814026637912,0.03733067886949332,TW-TW,1.1498238102395448,0.0012213695568243377,0.0348581431896193
glg,CC-CC,0.49619203818562385,0.05734980895934004,0.23886179516566275,WK-WK,1.134266607560522,0.003953396777075862,0.06271420280603165,TW-TW,1.074784483144524,0.003020100879030207,0.054813991614181413
guj,CC-CC,0.6218053287633031,0.006290265920060108,0.0791070531873425,WK-WK,0.9192124786692899,0.00038812491086285823,0.019650176836217267,TW-TW,0.865838356470484,0.005569921392982739,0.07443980678464839
hat,CC-CC,1.1102207120279401,0.005333903666088583,0.07284559383981509,WK-WK,0.726952299362588,0.0035970026784672253,0.05982064408692915,TW-TW,0.9951176828765604,0.0023078536331726076,0.04791647209062391
hin,CC-CC,0.3157458194664217,0.06291359230201773,0.2501802061136449,WK-WK,0.9697423416486779,0.000790828298644697,0.028049285627070767,TW-TW,1.1066848760774781,0.0013398663571152262,0.036509967419585426
hun,CC-CC,0.29366141098538956,0.10519669737047298,0.32350556573827,WK-WK,1.3694682010540873,0.00235572757605299,0.04841090896543775,TW-TW,0.8610704180676578,0.0020875699286235557,0.04557232860615587
ind,CC-CC,0.37583013082675976,0.00857757115300034,0.09237679041061408,WK-WK,1.1040383422170323,0.0013571712183710874,0.036744980786418205,TW-TW,1.0934138531629705,0.0010726399990483235,0.032666883078192765
kan,CC-CC,0.6911825196940724,0.002216583512084129,0.0469594231472056,WK-WK,0.9177760368654218,0.00013876968028161718,0.01174973300411355,TW-TW,0.7012967366332383,0.004188599623781783,0.06455280656331222
kor,CC-CC,0.5983510428298772,0.020964039392947723,0.1444169563134237,WK-WK,0.8967182798688265,0.005493937481660644,0.07393031568871296,TW-TW,1.0870166923260658,0.0056747367763592405,0.07513695050805393
lav,CC-CC,0.44318787444394986,0.012717009573439828,0.11247945496947803,WK-WK,1.1828961668282991,0.002899179250076817,0.05370543492425607,TW-TW,1.0476253972945415,0.0022613666342848264,0.04743142736287889
lit,CC-CC,0.4809124500898199,0.08364707156483882,0.2884736002606484,WK-WK,1.2787583757312817,0.0010464966090522726,0.032266333394005205,TW-TW,1.0300054572704138,0.0015948092792979333,0.03983227220090186
mal,CC-CC,0.7212564514623169,0.0036513744971240387,0.060271068818813237,WK-WK,0.9850630582723732,0.00011142163536243727,0.010528474954573862,TW-TW,0.7991016615345903,0.005012018960507875,0.07061338922345516
mar,CC-CC,0.6004364819847056,0.011240261845874176,0.10574721010539236,WK-WK,0.8871638644821687,0.00021220180032112951,0.014529652789285039,TW-TW,0.8162782963739663,0.004135254264602825,0.06414042204233969
