Language,Register Pair,mean,var,std,Register Pair,mean,var,std,Register Pair,mean,var,std
isl,CC-CC,0.16331659974689466,0.7746081498759296,0.8778528736889349,WK-WK,0.9924774186973638,0.0065203567245102805,0.08054088220155574,TW-TW,1.1762269276069324,0.007429417566373639,0.08597220949756973
ita,CC-CC,0.3002619228262915,0.13270267215768147,0.36334612942470473,WK-WK,1.1213547015238847,0.009397311417416261,0.09669021228563962,TW-TW,1.2259826890363221,0.007538384220092926,0.08660038816819875
nld,CC-CC,0.746967692327849,0.02515683725578533,0.1582008178257682,WK-WK,0.7345215415963472,0.01093438247546836,0.10429844528079595,TW-TW,1.1509115911191965,0.006363683082799073,0.07956736496889584
nor,CC-CC,0.6732433647080509,0.02543686679409141,0.15907887536409318,WK-WK,0.7091881265100001,0.015639591862116792,0.1247364591750139,TW-TW,1.1276717561721228,0.008002819496118155,0.0892282170186542
pol,CC-CC,0.6381511964844357,0.020584272400559274,0.14310290971592413,WK-WK,1.1396888951101147,0.007021438919437421,0.08357834464657252,TW-TW,0.9099863841415369,0.004296921850713267,0.06538218523866957
ron,CC-CC,0.46161232471824887,0.05417981247934063,0.23216644582770382,WK-WK,1.1558706252334812,0.009072668594068177,0.09500538621622878,TW-TW,1.1741559529463326,0.007693152261927518,0.08748485335160278
sqi,CC-CC,0.4860625752454725,0.07503087865857425,0.27321259753713545,WK-WK,1.0181644562099503,0.020933379707893024,0.14431131354120502,TW-TW,1.1746699400621574,0.015099167886751549,0.1225623871600508
urd,CC-CC,0.5220794736514839,0.04614905606585024,0.2142703679239149,WK-WK,1.080102835486957,0.015879083251512712,0.12568788463169306,TW-TW,1.1402344472196388,0.00899753347575141,0.09461117578230126
kat,CC-CC,0.5262532011623456,0.1029126915650313,0.3199743551993735,WK-WK,0.7793497613355249,0.06012529293276718,0.24457344828560243,TW-TW,1.3413620085129714,0.05410710811814909,0.23201062044869952
mon,CC-CC,0.4113147163519458,0.12625146454449232,0.35440424610615623,WK-WK,1.491060512141565,0.04435174742015843,0.21005647431661215,TW-TW,0.5045847633647155,0.02729925449011068,0.16479957892951824
uzb,CC-CC,-0.023444743419390356,0.10704175820803391,0.32633024057809346,WK-WK,1.7161839702289539,0.08128512781741822,0.2843716190625001,TW-TW,0.796010370175996,0.017555847225413392,0.13215743487960008
tha,CC-CC,0.17417503971280213,0.04091938397841437,0.2017647286387583,WK-WK,0.7883981167055881,0.0008098842761366769,0.028385214979823416,TW-TW,1.4442399206435508,0.00022167740362717366,0.014850511664473313
jpn,CC-CC,0.39738311936152576,0.042942959669269844,0.20669343877387472,WK-WK,0.5489171191392472,0.008498920504104718,0.0919522980852056,TW-TW,1.3874546765508327,0.00637277109680288,0.07962416001452174
zho,CC-CC,0.25568664630977833,0.4904662161383044,0.6985303064653726,WK-WK,0.7733646788506683,0.015390784612839038,0.12374027714316847,TW-TW,1.3829715874157964,0.00798860917252009,0.08914896212557762
