lang_name,S=5000,S=10000,S=15000,S=20000,S=25000
ara,0.29549837068934914,0.35286883308940187,0.3989961702054339,0.4425049753878918,0.49315872044986275
bul,0.5591954274929551,0.6836662696117826,0.7443268718235613,0.7729281529422334,0.7959033826169029
cat,0.5565170171142603,0.663668915575707,0.7208675612916284,0.7569400532829201,0.7917711651813654
ces,0.4841384307862877,0.6093362916437289,0.6651319408095107,0.7114929432397776,0.7355518813988382
dan,0.56413300786812,0.6558939846706944,0.7264224407990956,0.7609202062005338,0.7926336243797811
deu,0.5888273056542495,0.6954159247576701,0.7467979891742369,0.7828294705569141,0.8132371194406662
ell,0.4923574837692278,0.6090403110255841,0.6656217038245246,0.7148507090707328,0.739837620170089
eng,0.5260909468618244,0.6328952466981945,0.6970078993594577,0.7228578007709838,0.7491334424046192
est,0.3408090107225823,0.3959689345677837,0.4469861006045144,0.4674602199173729,0.48868039605692654
fas,0.6215793373042662,0.693020890810488,0.743680979337278,0.7696850287704753,0.7944371220705855
fin,0.6400018221807171,0.742200354958507,0.7938129303410537,0.8248150592597792,0.849543439392439
fra,0.298058283186857,0.3610913959982593,0.408493819490292,0.43982663026790203,0.47284185121377764
glg,0.5482508661838115,0.6692693295790955,0.7196232949467443,0.7584764732381365,0.787196936910997
heb,0.4399877729963103,0.5560570453007427,0.6311197007319556,0.6707008809855448,0.7014230788091715
hin,0.5020785493327411,0.6134688741590961,0.6763700936043384,0.7304577088959862,0.7535329820429424
hun,0.5563435501063523,0.6730019078106064,0.7287952143231187,0.7672231501928205,0.7851718174591509
ind,0.3816675285450881,0.4432295046252498,0.4894134265498583,0.5251947337465555,0.5584379367253053
ita,0.3401298757669332,0.39736148792843534,0.42982291237119746,0.4715438864914994,0.5019949113428923
jpn,0.4197368820102517,0.4754054689530328,0.5239088711635665,0.5593793598267589,0.5876557287605172
kor,0.3095245108684308,0.4182422266855615,0.4862488992904198,0.5219629184773591,0.5665546687590763
lav,0.5596297720803438,0.6821242198196711,0.7496724452301637,0.7825262656780272,0.8043845796378941
nld,0.5543586830222533,0.6748569964821907,0.7291029756139774,0.7699811101001477,0.7973229541726825
nor,0.5406617162192937,0.650651922049263,0.7100308675942001,0.7418203232786725,0.7709666777187782
pol,0.5625214207402666,0.6719276071217015,0.7314705916223777,0.7669115053322015,0.7892483027461765
por,0.31174674880179587,0.3815499285216075,0.43618646780973047,0.47750910674739533,0.49386952414672414
ron,0.5400483113665344,0.6697784945799815,0.7268644658068106,0.7662172499817873,0.7902429903381081
rus,0.5524932727176415,0.6615814161357361,0.7183550088190156,0.7613233202753028,0.7787415165983602
slv,0.5388769546938212,0.6406020460547097,0.7054690948763458,0.7416849701971794,0.7726757056280489
spa,0.2954384348715541,0.3631031163707229,0.4172809228685377,0.43910019482842705,0.47588939585540363
swe,0.6934102107215809,0.7750866727718952,0.8176252675175766,0.841346498454635,0.8626863280005412
tam,0.2456748051843164,0.30872883706780047,0.34482906109375394,0.3776742837263216,0.40478952887548514
tel,0.5722467030127696,0.6556876919533245,0.7185574617207534,0.7559207687468877,0.7721141452966287
tgl,0.3781116365188663,0.42467346756123076,0.4794636892676734,0.5216927263603125,0.5367642632900336
tha,0.5352171837903015,0.599032225084984,0.6471907434167481,0.6715689674253822,0.6954370631444698
tur,0.5740452709200674,0.6902876493162167,0.7345885973611712,0.7746703782688447,0.7998797202748982
ukr,0.5648034384373763,0.6849045894647272,0.7370045272132164,0.7787479902548913,0.8017855017291184
urd,0.4580771498997209,0.5669990811683552,0.6359172357997439,0.6763097045061353,0.7132297476899834
vie,0.20223210737246147,0.27923221356307537,0.324296429355322,0.3648989292294276,0.3953489895658616
zho,0.31026720478149294,0.43652727082264176,0.5214782037979491,0.5871219040219873,0.6277240883338122
